Rank,Title,Year,Rating,Views,Link
117, Thành Phố Trung Tâm,1927,8.3,182K,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_117
118, Đương Đầu Với Thử Thách,1988,8.2,917K,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
119, Cậu Bé Đặc Biệt,2007,8.3,203K,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119
120, Tên Trộm Nữ Trang,2000,8.2,891K,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_120
121, Kẻ Cắp Xe Đạp,1948,8.3,171K,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_121
122, Bí Mật Los Angeles,1997,8.2,604K,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_122
123, Tài Xế Taxi,1976,8.2,893K,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_123
124, Thế Chiến 1917,2019,8.2,648K,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_124
125, Ngày Tàn Của Hitler,2004,8.2,369K,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
126, Dangal,2016,8.3,203K,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126
127, Thêm Vài Đồng Xu Lẻ,1965,8.2,269K,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_127
128, Người Dơi Xuất Hiện,2005,8.2,1.5M,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128
129, Phi Công Siêu Đẳng Maverick,2022,8.3,640K,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_129
130, Some Like It Hot,1959,8.2,278K,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_130
131, Đứa Trẻ,1921,8.2,132K,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_131
132, Sói Già Phố Wall,2013,8.2,1.5M,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_132
133, The Father,2020,8.2,180K,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_133
134, Cẩm Nang Xanh,2018,8.2,541K,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_134
135, All About Eve,1950,8.2,136K,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_135
136, Tòa Án Chiến Tranh,1961,8.3,83K,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
137, Buổi Diễn Của Truman,1998,8.2,1.2M,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
138, Máu Sẽ Phải Đổ,2007,8.2,624K,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_138
139, Sòng Bạc,1995,8.2,549K,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_139
140, Lãnh Chúa Hidetora,1985,8.2,133K,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_140
141, Đảo Kinh Hoàng,2010,8.2,1.4M,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_141
142, Mê Cung Của Pan,2006,8.2,692K,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_142
143, Công Viên Kỷ Jura,1993,8.2,1M,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_143
