Rank,Title,Year,Rating,Views,Link
199, Hội Cố Thi Nhân,1989,8.1,527K,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_199
200, Max Điên: Con Đường Tử Thần,2015,8.1,1.1M,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_200
201, Công Ty Quái Vật,2001,8.1,955K,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_201
202, Mr. Smith Goes to Washington,1939,8.1,120K,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_202
203, Hàm Cá Mập,1975,8.1,645K,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_203
204, Bí Kíp Luyện Rồng,2010,8.1,780K,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_204
205, Mary Và Max,2009,8.1,184K,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205
206, Cuộc Đua Lịch Sử,2019,8.1,443K,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_206
207, Phong Ấn Thứ Bảy,1957,8.1,194K,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_207
208, Room,2015,8.1,441K,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_208
209, Bá Tước Lebowski,1998,8.1,843K,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_209
210, Câu Chuyện Tokyo,1953,8.1,66K,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_210
211, Chú Chuột Đầu Bếp,2007,8.1,795K,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_211
212, Tay Đấm Huyền Thoại,1976,8.1,614K,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
213, Khách Sạn Rwanda,2004,8.1,367K,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_213
214, Logan: Người Sói,2017,8.1,809K,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_214
215, Tiêu Điểm,2015,8.1,492K,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_215
216, Bài Ca Khổ Hình Của Joan of Arc,1928,8.1,59K,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_216
217, Trung Đội,1986,8.1,431K,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_217
218, Kẻ Hủy Diệt,1984,8.1,905K,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218
219, Jai Bhim,2021,8.8,212K,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_219
220, Trước Lúc Hoàng Hôn,2004,8.1,281K,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_220
221, Đường Đua Nghẹt Thở,2013,8.1,502K,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_221
222, Network,1976,8.1,167K,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_222
223, Quỷ Ám,1973,8.1,444K,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_223
224, The Best Years of Our Lives,1946,8.1,69K,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_224
225, Hãy Đứng Bên Tôi,1986,8.1,430K,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_225
226, La haine,1995,8.1,189K,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_226
227, Phù Thủy Xứ Oz,1939,8.1,419K,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_227
228, Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,2003,8.1,1.2M,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_228
229, Gia Đình Siêu Nhân,2004,8.0,785K,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_229
230, Về Với Thiên Nhiên,2007,8.1,646K,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_230
231, Cha Và Con Của Tôi,2005,8.2,90K,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_231
232, To Be or Not to Be,1942,8.2,41K,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_232
233, Hachiko: Chú Chó Trung Thành,2009,8.1,303K,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_233
234, Người Hầu Gái,2016,8.1,165K,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234
235, The Grapes of Wrath,1940,8.1,98K,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_235
236, La battaglia di Algeri,1966,8.1,64K,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_236
237, Ngày Chuột Chũi,1993,8.0,666K,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_237
238, Amores perros,2000,8.1,249K,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_238
239, Giai Điệu Hạnh Phúc,1965,8.1,251K,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_239
240, Rebecca,1940,8.1,144K,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_240
241, Cool Hand Luke,1967,8.1,185K,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_241
242, Pather Panchali,1955,8.2,37K,https://www.imdb.com/title/tt0048473/?ref_=chttp_t_242
243, Người Máy Khổng Lồ,1999,8.1,218K,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_243
244, Chuyện Xảy Ra Trong Đêm,1934,8.1,110K,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_244
245, Người Giúp Việc,2011,8.1,482K,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245
246, 400 Cú Đấm,1959,8.1,125K,https://www.imdb.com/title/tt0053198/?ref_=chttp_t_246
247, Persona,1966,8.1,128K,https://www.imdb.com/title/tt0060827/?ref_=chttp_t_247
248, Aladdin,1992,8.0,452K,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_248
249, Life of Brian,1979,8.0,417K,https://www.imdb.com/title/tt0079470/?ref_=chttp_t_249
250, Drishyam,2015,8.2,92K,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_250
